Focus Union Provider Name,Focus Union Service Name,service_category
Google Cloud,Cloud Scheduler,Other
Google Cloud,Jenkins,Marketplace Services
Google Cloud,CIS Red Hat Enterprise Linux 8 Benchmark - Level 2,Marketplace Services
Google Cloud,Claude 3.5 Haiku,AI/ML
Google Cloud,reCAPTCHA Enterprise,Security
Google Cloud,Google Service Control,Management Tools
Google Cloud,RackWare Cloud Migration Virtual Machine,Marketplace Services
Google Cloud,Wildfly,Marketplace Services
Google Cloud,Colab,AI/ML
Google Cloud,velospublic velostrata,Marketplace Services
Google Cloud,CIS Hardened Image Level 1 on Debian Linux 12,Marketplace Services
Google Cloud,Docker Engine - Enterprise for Windows Server 2019,Marketplace Services
Google Cloud,Cloud Filestore,Storage
Google Cloud,Geolocation API,Maps
Google Cloud,Deep Learning VM,AI/ML
Google Cloud,Claude 3.5 Sonnet,AI/ML
Google Cloud,Neo4j Community Edition,Marketplace Services
Google Cloud,App Engine,Compute
Google Cloud,WildFly packaged by Bitnami,Marketplace Services
Google Cloud,NetScaler VPX FIPS - Customer Licensed,Other
Google Cloud,Networking,Networking
Google Cloud,Claude 3.5 Sonnet v2,AI/ML
Google Cloud,Data Catalog,Analytics
Google Cloud,Artifact Registry,Storage
Google Cloud,Cloud Domains,AI/ML
Google Cloud,VM-Series Next-Generation Firewall with Terraform (BYOL and ELA),Networking
Google Cloud,VyOS Universal Router for Google Cloud Platform,Networking
Google Cloud,Notebooks,AI/ML
Google Cloud,Parameter Manager,Other
Google Cloud,Cloud NGFW Enterprise,Other
Google Cloud,Managed Service for Apache Kafka,Analytics
Google Cloud,GitLab Enterprise Edition Virtual Machine,Marketplace Services
Google Cloud,Cloud Dataflow,Analytics
Google Cloud,VM Manager,Compute
Google Cloud,Certificate Authority Service,Security
Google Cloud,Document Warehouse,Other
Google Cloud,Cloud Vision API,AI/ML
Google Cloud,Duet AI,AI/ML
Google Cloud,Cloud SQL,Database
Google Cloud,Database Migration,Migration
Google Cloud,Compute Engine,Compute
Google Cloud,BigQuery Reservation API,Analytics
Google Cloud,VM-Series Next-Generation Firewall (Bundle1),Networking
Google Cloud,Cloud IDS,Security
Google Cloud,NetScaler VPX - Customer Licensed,Other
Google Cloud,CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1,Marketplace Services
Google Cloud,Application Integration,Integration
Google Cloud,Cloud Tasks,Other
Google Cloud,Vertex AI Search,AI/ML
Google Cloud,ADFS Windows Server 2016,Marketplace Services
Google Cloud,Google Click to Deploy Migrate for Compute Engine (formerly Velostrata),Compute
Google Cloud,Remote Build Execution,DevOps
Google Cloud,GKE Enterprise / GDC,Compute
Google Cloud,Cloud Storage,Storage
Google Cloud,Street View Static API,Maps
Google Cloud,BigQuery,Analytics
Google Cloud,Proxy Cache Server using Squid,Marketplace Services
Google Cloud,Mistral Large 24.11,Other
Google Cloud,VM-Series Next-Generation Firewall (BYOL and ELA),Networking
Google Cloud,Cloud Composer,Analytics
Google Cloud,Backup for GKE,Storage
Google Cloud,Schedmd-Slurm-GCP,Marketplace Services
Google Cloud,Cloud Machine Learning Engine,AI/ML
Google Cloud,Catalyst 8000V Edge Software - BYOL,Other
Google Cloud,Claude 3 Opus,AI/ML
Google Cloud,Cloud Healthcare,Other
Google Cloud,Proxy Server - Squid Proxy Cache on Ubuntu 22.04,Other
Google Cloud,Certificate Manager,Security
Google Cloud,Looker Studio,Analytics
Google Cloud,Managed Service for Microsoft Active Directory,Security
Google Cloud,Cloud Build,DevOps
Google Cloud,STRIIM ( metered ),Marketplace Services
Google Cloud,On-Demand Scanning,Other
Google Cloud,Secret Manager,Storage
Google Cloud,Claude 3 Haiku,AI/ML
Google Cloud,Apigee Developer Portal Kickstart,API Management
Google Cloud,Confidential Computing,Security
Google Cloud,NetApp Volumes,Marketplace Services
Google Cloud,Redmine packaged by Bitnami,Marketplace Services
Google Cloud,Web Risk,Security
Google Cloud,Firebase Hosting,Other
Google Cloud,SFTPGo Professional,Marketplace Services
Google Cloud,MultiClusterIngress,Networking
Google Cloud,Maps Static API,Maps
Google Cloud,Cloud TPU,Compute
Google Cloud,KeyCloak on Ubuntu 24.04,Marketplace Services
Google Cloud,CipherTrust Manager Community Edition,Other
Google Cloud,Retail API,AI/ML
Google Cloud,Redis Server on Ubuntu Server 20.04,Database
Google Cloud,BindPlane OP Enterprise Edition,Marketplace Services
Google Cloud,AlloyDB,Database
Google Cloud,Google Maps Platform Solar Service,Maps
Google Cloud,Security Command Center,Security
Google Cloud,GitLab Server (CE) Community Edition on CentOS Stream 9,Marketplace Services
Google Cloud,SQL Server Enterprise 2017 on Linux - Redhat 7.3,Database
Microsoft,Storage,Storage
Microsoft,Azure SQL Database,Database
Microsoft,Bandwidth,Other
Microsoft,Azure Cosmos DB,Database
Microsoft,Application Gateway,Networking
Microsoft,Virtual Machines,Compute
